,school_within_300,bus_stop_within_300,speedlimit,tb_latitude,tb_longitude,day_of_year,accident_year,distance,weather_1,collision_severity,type_of_collision,road_surface,road_cond_1,lighting,number_killed,number_injured,party1_type,party1_dir_of_travel,party1_move_pre_acc,party2_type,party2_dir_of_travel,party2_move_pre_acc,Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,hour,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres,CLUSTER_ID,accident
5613,0,1,50,37.78872115,-122.4020657,040,2016,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Making Left Turn,Pedestrian,North,Not Stated,19,6,3,8,13,15.0,9.4,21.7,0.0,0.0,,5.0,1022.0,435,1
5614,0,1,65,37.73884328,-122.4239488,183,2013,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Making Right Turn,Pedestrian,East,Proceeding Straight,61,9,5,2,9,17.9,14.4,27.8,0.0,,297.0,23.0,1011.8,208,1
5616,0,1,20,37.78258503,-122.4156939,302,2013,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,East,Not Stated,Driver,South,Proceeding Straight,20,5,10,36,12,13.9,11.1,17.2,0.0,0.0,,11.5,1014.7,472,1
5617,0,1,25,37.79376881,-122.3924993,245,2022,0,Clear,Injury (Complaint of Pain),Sideswipe,Dry,No Unusual Condition,Dark - Street Lights,0,1,Bicyclist,North,Proceeding Straight,Pedestrian,North,Ran Off Road,108,1,3,8,21,15.6,12.8,20.0,0.0,,303.0,28.4,1011.6,320,1
5618,0,0,25,37.75166202,-122.4924175,175,2014,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Making Right Turn,Pedestrian,East,Proceeding Straight,39,10,7,35,12,17.4,13.9,20.6,0.0,0.0,277.0,27.4,1015.4,46,1
5619,0,1,25,37.78092459,-122.4664269,363,2018,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Making Left Turn,Pedestrian,South,Not Stated,5,8,4,11,10,9.3,5.0,15.6,0.0,0.0,244.0,7.6,1026.7,126,1
5620,0,0,50,37.76921422,-122.4079915,270,2013,12,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Making Right Turn,Pedestrian,West,Proceeding Straight,33,3,9,20,7,17.2,12.2,25.6,0.0,0.0,,11.5,1017.6,186,1
5623,0,1,50,37.78391537,-122.4082331,135,2013,54,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,North,Proceeding Straight,Driver,West,Proceeding Straight,19,5,10,34,23,13.6,11.1,16.7,0.0,0.0,256.0,36.0,1017.6,458,1
5625,0,1,25,37.77271628,-122.4809788,160,2013,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,2,Driver,East,Making Left Turn,Pedestrian,North,Not Stated,8,8,4,29,17,17.9,15.0,21.1,0.0,0.0,190.0,17.6,1010.8,91,1
5627,0,1,20,37.78435813,-122.4109954,335,2021,80,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,West,Other,Driver,North,Proceeding Straight,20,5,10,36,14,15.0,9.4,21.1,0.0,,68.0,4.7,1018.7,444,1
5629,0,0,25,37.75383393,-122.4186381,194,2013,13,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Backing,Pedestrian,South,Proceeding Straight,53,3,2,20,18,15.3,11.1,22.8,0.0,0.0,304.0,19.8,1013.8,223,1
5630,0,1,25,37.74239009,-122.4219593,274,2021,6,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,North,Making Left Turn,Pedestrian,East,Other,83,9,2,2,7,18.8,13.3,26.7,0.0,,306.0,13.0,1014.3,215,1
5632,0,0,10,37.77406165,-122.4376106,281,2015,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dusk - Dawn,0,1,Driver,South,Making Left Turn,Pedestrian,West,Proceeding Straight,23,4,11,9,16,18.0,14.4,26.7,0.0,0.0,,13.3,1018.4,230,1
5633,0,1,25,37.76231577,-122.462972,268,2013,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Proceeding Straight,Pedestrian,East,Proceeding Straight,109,7,11,14,10,16.1,13.3,19.4,0.0,0.0,280.0,32.0,1012.8,89,1
5634,0,1,55,37.72171588,-122.3959438,363,2013,0,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,East,Proceeding Straight,Driver,South,Proceeding Straight,88,2,9,1,15,12.7,5.6,20.0,0.0,0.0,,4.7,1020.1,16,1
5636,0,1,30,37.78515094,-122.4330834,107,2013,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Proceeding Straight,Pedestrian,South,Other,101,4,11,15,12,14.2,10.0,19.4,0.0,0.0,318.0,29.2,1023.3,250,1
5637,0,1,25,37.76419571,-122.4330745,044,2021,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Wet,No Unusual Condition,Daylight,0,1,Pedestrian,North,Entering Traffic,Driver,East,Making Left Turn,38,3,5,5,8,12.9,10.0,15.6,1.3,,283.0,29.2,1017.3,182,1
5638,0,1,65,37.73158423,-122.4397428,228,2022,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Proceeding Straight,Pedestrian,South,Proceeding Straight,95,9,8,41,19,18.9,13.9,28.3,0.0,,320.0,16.6,1008.6,63,1
5640,0,1,50,37.77779901,-122.4002978,076,2021,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,North,Proceeding Straight,Driver,East,Making Left Turn,32,1,10,34,5,9.5,6.1,13.3,0.0,,196.0,9.4,1019.5,247,1
5641,0,1,25,37.74295557,-122.4778362,244,2022,0,Cloudy,Injury (Other Visible),Head-On,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,North,Making Left Turn,Pedestrian,East,Proceeding Straight,40,10,7,35,22,16.9,12.8,22.2,0.0,,313.0,25.9,1010.9,73,1
5642,0,1,15,37.73285946,-122.3890885,354,2015,27,Clear,Injury (Complaint of Pain),Sideswipe,Dry,No Unusual Condition,Daylight,0,2,Driver,South,Proceeding Straight,Pedestrian,South,Not Stated,86,2,9,1,12,9.3,5.6,12.2,6.1,0.0,148.0,14.4,1021.3,34,1
5643,0,1,25,37.76420305,-122.433123,135,2013,14,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,West,Proceeding Straight,Driver,West,Proceeding Straight,28,3,5,5,18,13.6,11.1,16.7,0.0,0.0,256.0,36.0,1017.6,182,1
5645,1,0,50,37.7666736,-122.4198252,306,2013,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,East,Proceeding Straight,Driver,North,Making Right Turn,53,3,2,20,2,14.5,10.0,17.2,0.0,0.0,,21.2,1015.5,285,1
5646,0,1,15,37.74315175,-122.4733674,128,2013,54,Cloudy,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Proceeding Straight,Pedestrian,North,Other,44,10,8,41,10,13.4,11.7,16.1,0.0,0.0,269.0,20.5,1019.9,75,1
5647,0,1,20,37.78007053,-122.4204099,287,2021,47,Clear,Fatal,Vehicle/Pedestrian,Dry,Construction or Repair Zone,Dark - Street Lights,1,0,Pedestrian,South,Not Stated,Driver,West,Making Right Turn,21,4,11,9,1,14.1,10.0,23.3,0.0,,324.0,9.4,1018.7,393,1
5648,0,1,25,37.80038582,-122.4471306,075,2013,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,West,Proceeding Straight,Driver,South,Proceeding Straight,14,4,6,13,22,11.7,8.3,16.7,0.0,,,23.0,1018.8,175,1
5649,0,0,20,37.78103084,-122.4204395,068,2013,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,East,Making Right Turn,Pedestrian,East,Proceeding Straight,100,4,10,36,21,10.9,6.7,16.1,0.0,0.0,,18.4,1023.7,392,1
5650,0,0,50,37.76335992,-122.4217373,162,2013,22,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,West,Proceeding Straight,Driver,North,Making Right Turn,37,3,5,20,18,15.4,12.8,19.4,0.0,0.0,285.0,19.4,1014.5,173,1
5651,1,0,20,37.780212,-122.4270206,012,2021,7,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,North,Making Left Turn,Pedestrian,East,Proceeding Straight,100,4,11,39,17,11.6,9.4,14.4,0.0,,2.0,3.2,1025.7,199,1
5652,0,0,20,37.78165426,-122.4155052,343,2016,0,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Wet,No Unusual Condition,Daylight,0,1,Driver,West,Making Left Turn,Pedestrian,North,Proceeding Straight,21,5,10,36,12,10.4,9.4,16.1,33.5,0.0,67.0,10.8,1019.6,467,1
5653,0,1,35,37.73796587,-122.4069105,108,2016,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,West,Making Right Turn,Pedestrian,South,Not Stated,82,2,9,1,4,18.1,12.2,28.3,0.0,0.0,321.0,8.3,1016.4,105,1
5654,0,1,35,37.78943368,-122.406957,277,2013,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,South,Not Stated,Driver,North,Not Stated,19,6,3,8,13,20.2,16.1,24.4,0.0,0.0,,14.4,1017.1,348,1
5655,0,1,50,37.7874505,-122.4005031,222,2022,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,North,Making Left Turn,Pedestrian,South,Proceeding Straight,32,1,10,8,15,20.2,17.2,25.0,0.0,,292.0,21.2,1017.7,429,1
5656,1,1,30,37.78711246,-122.44025,346,2021,0,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Driver,West,Making Left Turn,Pedestrian,North,Proceeding Straight,103,4,6,30,17,10.6,8.9,13.3,17.8,,139.0,19.4,1013.6,226,1
5657,0,1,50,37.77252644,-122.4100768,224,2022,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,East,Entering Traffic,Driver,North,Making Right Turn,32,1,10,34,16,18.7,15.6,22.2,0.0,,280.0,26.6,1016.9,189,1
5658,0,0,50,37.78677895,-122.398257,350,2013,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Making Left Turn,Pedestrian,West,Proceeding Straight,32,1,10,8,10,11.4,6.1,18.3,0.0,0.0,,3.6,1021.9,297,1
5660,0,1,15,37.77208039,-122.4457167,222,2013,0,Clear,Injury (Other Visible),Sideswipe,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,South,Proceeding Straight,Pedestrian,West,Proceeding Straight,24,7,11,12,0,16.5,14.4,21.1,0.0,0.0,268.0,18.0,1017.0,121,1
5661,1,1,25,37.79184209,-122.3949402,101,2022,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Making Left Turn,Pedestrian,North,Proceeding Straight,108,1,10,8,16,11.5,8.3,13.9,3.0,,280.0,37.1,1014.7,316,1
5664,0,1,15,37.73243191,-122.3915214,197,2013,0,Cloudy,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,South,Proceeding Straight,Pedestrian,East,Proceeding Straight,86,2,9,1,21,15.8,13.3,21.7,0.0,0.0,245.0,16.9,1014.8,38,1
5665,0,1,50,37.77841628,-122.4099382,228,2022,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,East,Proceeding Straight,Bicyclist,West,Proceeding Straight,32,1,10,34,13,18.9,13.9,28.3,0.0,,320.0,16.6,1008.6,381,1
5666,0,0,65,37.72745413,-122.4410983,277,2021,3,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,North,Making Left Turn,Pedestrian,West,Not Stated,94,9,1,28,8,20.1,12.8,26.1,0.0,,314.0,13.7,1012.1,61,1
5669,0,0,20,37.78165426,-122.4155052,252,2022,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Proceeding Straight,Pedestrian,North,Proceeding Straight,21,5,10,36,8,20.0,15.0,25.0,0.0,,307.0,21.6,1001.4,467,1
5670,0,0,25,37.795875,-122.4004855,261,2020,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dusk - Dawn,0,1,Driver,South,Making Left Turn,Pedestrian,West,Proceeding Straight,77,6,3,8,18,19.3,16.1,22.8,0.0,,307.0,17.3,1014.8,337,1
5671,1,1,35,37.71074852,-122.4476724,010,2013,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Making Left Turn,Pedestrian,East,Proceeding Straight,58,9,1,7,7,8.5,6.7,10.6,0.0,0.0,295.0,22.7,1020.1,133,1
5672,0,1,55,37.72138474,-122.396031,272,2022,125,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,North,Not Stated,Driver,South,Proceeding Straight,88,2,9,1,10,18.0,13.9,26.7,0.0,,313.0,16.6,1015.9,16,1
5673,0,1,55,37.72361621,-122.4007847,319,2013,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Making Right Turn,Pedestrian,East,Not Stated,91,2,9,25,7,12.6,10.0,18.3,0.0,0.0,,18.4,1009.7,26,1
5674,0,0,30,37.79311213,-122.4380597,199,2013,68,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,North,Backing,Pedestrian,North,Other,102,4,6,30,11,15.0,12.2,20.6,0.0,0.0,,16.9,1016.8,172,1
5676,0,0,20,37.78423574,-122.4177068,362,2018,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,North,Proceeding Straight,Pedestrian,North,Proceeding Straight,20,5,10,36,11,12.0,6.7,14.4,0.0,0.0,23.0,16.9,1023.6,409,1
5677,0,1,25,37.76149116,-122.4250249,069,2022,0,Clear,Injury (Other Visible),Head-On,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,North,Proceeding Straight,Driver,West,Stopped,37,3,5,20,10,12.1,7.8,18.9,0.0,,303.0,19.1,1019.4,166,1
5679,0,1,50,37.73243866,-122.4056075,346,2021,0,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Driver,North,Making Left Turn,Pedestrian,West,Proceeding Straight,91,2,2,25,17,10.6,8.9,13.3,17.8,,139.0,19.4,1013.6,40,1
5680,0,1,65,37.72993059,-122.4301109,292,2021,0,Cloudy,Injury (Severe),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Driver,North,Proceeding Straight,Pedestrian,East,Proceeding Straight,94,9,1,7,20,12.7,8.9,19.4,0.0,,190.0,14.8,1015.4,132,1
5681,0,0,20,37.78082105,-122.4220868,259,2013,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Making Left Turn,Pedestrian,East,Proceeding Straight,100,4,11,39,19,17.9,15.0,21.7,0.0,0.0,275.0,25.9,1011.3,353,1
5682,0,1,50,37.78795656,-122.403543,192,2022,15,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Making Right Turn,Pedestrian,South,Proceeding Straight,19,6,3,8,13,18.6,14.4,21.7,0.0,,308.0,24.1,1012.3,439,1
5683,0,1,50,37.78544631,-122.4062886,085,2018,170,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,North,Other,Driver,East,Proceeding Straight,19,5,3,8,11,11.6,7.2,16.7,0.0,0.0,287.0,17.6,1022.4,430,1
5685,0,1,30,37.78239164,-122.4473015,232,2021,0,Cloudy,Injury (Other Visible),Broadside,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,South,Other,Driver,West,Proceeding Straight,13,8,6,18,17,17.9,15.6,22.8,0.0,,323.0,10.1,1009.9,84,1
5687,0,0,25,37.74262597,-122.4853355,081,2016,0,Raining,Injury (Other Visible),Vehicle/Pedestrian,Wet,No Unusual Condition,Daylight,0,1,Driver,East,Making Left Turn,Pedestrian,North,Proceeding Straight,40,10,7,35,13,14.5,12.2,17.8,0.3,0.0,209.0,16.9,1018.5,54,1
5688,0,0,25,37.77604429,-122.4295541,235,2022,0,Clear,Injury (Other Visible),Head-On,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,East,Proceeding Straight,Driver,North,Proceeding Straight,22,4,11,9,17,18.7,15.0,24.4,0.0,,309.0,20.5,1010.6,261,1
5689,0,1,65,37.73103989,-122.4295707,234,2022,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Proceeding Straight,Pedestrian,East,Proceeding Straight,94,9,1,28,8,18.4,13.9,25.0,0.0,,296.0,24.5,1016.3,132,1
5690,1,1,25,37.79419796,-122.4068212,009,2014,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Backing,Pedestrian,North,Proceeding Straight,104,6,3,6,12,12.3,11.1,15.6,0.0,0.0,286.0,18.7,1023.6,366,1
5691,0,1,50,37.76162774,-122.4193393,273,2013,76,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,South,Other,Driver,South,Entering Traffic,53,3,2,20,16,19.8,15.0,22.8,0.0,0.0,215.0,15.8,1017.2,271,1
5692,0,1,50,37.78321431,-122.4107648,168,2014,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,North,Proceeding Straight,Driver,West,Making Left Turn,20,5,10,36,13,15.9,11.7,23.9,0.0,0.0,,16.9,1013.5,437,1
5694,0,0,50,37.7900391,-122.4021896,147,2014,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Changing Lanes,Pedestrian,West,Proceeding Straight,19,6,3,8,11,16.2,12.2,20.0,0.0,0.0,271.0,29.5,1016.9,441,1
5695,0,0,25,37.8023763,-122.4314977,151,2014,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,North,Proceeding Straight,Pedestrian,East,Proceeding Straight,17,4,6,13,10,15.0,11.1,20.0,0.0,0.0,261.0,18.0,1014.2,163,1
5696,0,0,20,37.78082105,-122.4220868,258,2022,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,2,Driver,East,Making Right Turn,Pedestrian,South,Proceeding Straight,100,4,11,39,19,17.8,15.6,20.6,0.0,,290.0,21.2,1016.2,353,1
5697,1,1,25,37.79494069,-122.4080791,266,2013,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,North,Proceeding Straight,Driver,West,Proceeding Straight,104,6,3,6,19,17.6,13.9,25.6,0.0,0.0,,14.0,1015.4,367,1
5699,0,1,25,37.72115531,-122.4477516,121,2013,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Making Right Turn,Pedestrian,South,Proceeding Straight,80,9,1,28,8,19.2,12.8,25.6,0.0,0.0,,13.0,1015.1,136,1
5700,0,1,50,37.78324396,-122.4105326,267,2022,68,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,West,Proceeding Straight,Pedestrian,West,Not Stated,20,5,10,36,17,20.3,15.6,28.9,0.0,,317.0,14.0,1015.6,437,1
5701,0,1,30,37.77574721,-122.4464599,155,2013,20,Cloudy,Injury (Severe),Broadside,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,East,Making Right Turn,Driver,South,Proceeding Straight,24,7,11,18,22,15.7,12.2,20.6,0.0,0.0,290.0,15.5,1013.1,113,1
5703,0,0,20,37.78724521,-122.4166387,274,2013,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,East,Making Left Turn,Pedestrian,North,Proceeding Straight,50,6,3,21,22,16.6,13.3,20.6,0.0,0.0,,21.2,1015.4,363,1
5705,0,1,35,37.71643548,-122.4410108,032,2014,9,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Making Left Turn,Pedestrian,North,Proceeding Straight,58,9,1,7,13,10.5,5.6,15.0,0.0,0.0,,10.1,1019.9,156,1
5708,0,0,50,37.78676548,-122.392053,256,2021,0,Clear,Injury (Other Visible),Broadside,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,West,Making Left Turn,Pedestrian,South,Proceeding Straight,30,1,10,8,21,17.1,14.4,22.2,0.0,,301.0,21.2,1011.8,177,1
5709,0,1,25,37.78388224,-122.4850109,042,2013,0,Clear,Injury (Severe),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Making Left Turn,Pedestrian,West,Not Stated,8,8,4,29,14,10.2,5.0,17.2,0.0,0.0,,7.6,1021.4,99,1
5712,0,1,25,37.76544799,-122.4773084,238,2022,0,Cloudy,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,North,Making Right Turn,Pedestrian,West,Proceeding Straight,9,10,4,12,9,18.1,13.3,23.9,0.0,,309.0,16.9,1013.6,83,1
5713,0,1,30,37.78371764,-122.4378479,298,2021,0,Clear,Injury (Complaint of Pain),Broadside,Wet,No Unusual Condition,Daylight,0,1,Pedestrian,North,Proceeding Straight,Driver,East,Making Left Turn,103,4,11,15,10,15.1,12.2,17.2,8.6,,249.0,19.8,1009.2,225,1
5714,0,1,50,37.77277145,-122.4223609,010,2013,58,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,North,Other,Driver,East,Proceeding Straight,26,1,10,20,10,8.5,6.7,10.6,0.0,0.0,295.0,22.7,1020.1,303,1
5716,0,1,25,37.79366378,-122.3963904,252,2022,0,Clear,Injury (Other Visible),Head-On,Dry,No Unusual Condition,Daylight,0,1,Driver,North,Entering Traffic,Pedestrian,West,Proceeding Straight,108,6,3,8,7,20.0,15.0,25.0,0.0,,307.0,21.6,1001.4,327,1
5717,0,0,65,37.72689364,-122.4414744,026,2021,20,Cloudy,Injury (Other Visible),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,2,Pedestrian,North,Not Stated,Driver,South,Proceeding Straight,94,9,1,28,19,8.4,3.9,11.1,18.3,,183.0,22.0,1011.7,61,1
5719,0,1,20,37.78892065,-122.4085318,352,2014,112,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,West,Entering Traffic,Driver,North,Proceeding Straight,19,6,3,8,13,12.6,11.1,15.6,0.5,0.0,,4.7,1020.1,341,1
5720,0,0,20,37.78165426,-122.4155052,120,2013,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,East,Making Left Turn,Pedestrian,South,Proceeding Straight,21,5,10,36,22,14.6,10.0,21.1,0.0,0.0,,21.6,1010.3,467,1
5721,0,0,25,37.77177649,-122.4620471,274,2020,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,2,Bicyclist,East,Proceeding Straight,Pedestrian,East,Proceeding Straight,9,7,4,12,17,17.1,14.4,27.8,0.0,,317.0,13.0,1017.4,97,1
5722,0,1,50,37.75683373,-122.406699,010,2013,0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,North,Not Stated,Driver,East,Making Left Turn,53,3,2,20,12,8.5,6.7,10.6,0.0,0.0,295.0,22.7,1020.1,171,1
5723,0,0,25,37.80631554,-122.4188915,213,2013,42,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Pedestrian,West,Entering Traffic,Driver,North,Making Right Turn,99,6,6,32,20,15.7,13.3,20.0,0.0,0.0,262.0,24.5,1017.5,277,1
5725,0,1,25,37.7731397,-122.471745,039,2013,5,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Dark - Street Lights,0,1,Driver,East,Making Right Turn,Pedestrian,South,Not Stated,5,8,4,11,19,8.2,5.0,11.1,2.8,0.0,284.0,14.0,1015.5,93,1
5726,0,1,35,37.76027169,-122.5093816,237,2022,0,Fog,Injury (Complaint of Pain),Vehicle/Pedestrian,Wet,No Unusual Condition,Dark - Street Lights,0,1,Driver,South,Proceeding Straight,Pedestrian,East,Proceeding Straight,39,10,7,35,0,17.8,15.0,24.4,0.0,,303.0,15.1,1014.1,14,1
5727,0,1,25,37.80747034,-122.4140717,244,2013,28,Clear,Injury (Other Visible),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Pedestrian,South,Proceeding Straight,Driver,West,Proceeding Straight,99,6,3,23,16,17.6,14.4,23.3,0.0,0.0,283.0,20.5,1013.6,312,1
5728,0,1,35,37.79534518,-122.4182696,243,2014,44,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,South,Passing Other Vehicle,Pedestrian,East,Proceeding Straight,16,6,3,32,11,19.9,16.7,23.9,0.0,0.0,,19.8,1012.2,245,1
5729,1,0,50,37.77594986,-122.4227876,286,2021,0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Dry,No Unusual Condition,Daylight,0,1,Driver,East,Making Left Turn,Pedestrian,North,Proceeding Straight,22,4,11,9,16,13.4,10.0,16.7,0.0,,271.0,14.0,1016.4,304,1
5732,0,1,30,37.78329259,-122.4327062,160,2013,0,Cloudy,Injury (Other Visible),Sideswipe,Dry,No Unusual Condition,Daylight,0,1,Driver,North,Proceeding Straight,Pedestrian,West,Not Stated,97,4,11,39,13,17.9,15.0,21.1,0.0,0.0,190.0,17.6,1010.8,248,1
