,id,unique_id,cnn_intrsctn_fkey,cnn_sgmt_fkey,case_id_pkey,tb_latitude,tb_longitude,geocode_source,geocode_location,collision_datetime,collision_date,collision_time,accident_year,month,day_of_week,primary_rd,secondary_rd,distance,weather_1,collision_severity,type_of_collision,mviw,ped_action,road_surface,road_cond_1,lighting,intersection,number_killed,number_injured,party_at_fault,party1_type,party1_dir_of_travel,party1_move_pre_acc,party2_type,party2_dir_of_travel,party2_move_pre_acc,point,Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,hour
48743,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_6770,26539,25164000.0,,6076513,37.7883879307679,-122.415185269815,SFPD-CROSSROADS,CITY STREET,04/03/2012 09:50:00 PM,2012 April 03,21:50:00,2012,April,Tuesday,LEAVENWORTH ST,SUTTER ST,0.0,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Wet,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,North,Proceeding Straight,Pedestrian,West,Proceeding Straight,POINT (-122.415184 37.788387),50.0,6.0,3.0,21.0,21
48746,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_60cd,6456,21290000.0,2486101.0,5590036,37.74822623255,-122.414910268492,SFPD-CROSSROADS,CITY STREET,02/20/2012 07:17:00 AM,2012 February 20,07:17:00,2012,February,Monday,CESAR CHAVEZ ST,SHOTWELL ST,4.0,Cloudy,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,Construction or Repair Zone,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,West,Making Right Turn,Pedestrian,South,Not Stated,POINT (-122.41491 37.748226),83.0,3.0,2.0,2.0,07
48751,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_73d6,55736,27245000.0,6059101.0,210517493,37.7811445851,-122.461091166,SFPD-INTERIM DB,CITY STREET,08/14/2021 02:28:00 AM,2021 August 14,02:28:00,2021,August,Saturday,GEARY BLVD,03RD AVE,10.0,Clear,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,East,Proceeding Straight,Pedestrian,South,Proceeding Straight,POINT (-122.46109 37.781143),5.0,8.0,4.0,11.0,02
48754,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_6668,13805,23855000.0,12664000.0,6067131,37.7742405289439,-122.398588548379,SFPD-CROSSROADS,CITY STREET,09/13/2012 02:57:00 PM,2012 September 13,14:57:00,2012,September,Thursday,TOWNSEND ST,06TH ST,344.0,Clear,Injury (Complaint of Pain),Broadside,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,1.0,Pedestrian,North,Stopped In Road,Driver,East,Stopped In Road,POINT (-122.39859 37.774242),32.0,1.0,10.0,4.0,14
48757,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_67c5,27104,24573000.0,,6076779,37.7944340072645,-122.397796256568,SFPD-CROSSROADS,CITY STREET,07/23/2012 12:40:00 PM,2012 July 23,12:40:00,2012,July,Monday,DAVIS ST,SACRAMENTO ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,South,Making Left Turn,Pedestrian,East,Proceeding Straight,POINT (-122.3978 37.794434),108.0,6.0,3.0,8.0,12
48766,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_734a,56191,24088000.0,,210437108,37.7522394544,-122.41844527,SFPD-INTERIM DB,CITY STREET,07/11/2021 02:47:00 PM,2021 July 11,14:47:00,2021,July,Sunday,MISSION ST,24TH ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,North,Backing,Pedestrian,East,Proceeding Straight,POINT (-122.41844 37.75224),53.0,3.0,2.0,20.0,14
48768,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_6730,10785,25713000.0,,6072413,37.7579545613958,-122.430268516136,SFPD-CROSSROADS,CITY STREET,06/03/2012 04:38:00 PM,2012 June 03,16:38:00,2012,June,Sunday,SANCHEZ ST,20TH ST,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,North,Making Right Turn,Pedestrian,East,Proceeding Straight,POINT (-122.43027 37.757954),52.0,3.0,5.0,5.0,16
48777,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_6db0,57296,26494000.0,6039101.0,220037055,37.7853164798,-122.424721659,SFPD-INTERIM DB,CITY STREET,01/17/2022 05:53:00 PM,2022 January 17,17:53:00,2022,January,Monday,GEARY BLVD,GOUGH ST,12.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,,Driver,South,Making Right Turn,Pedestrian,South,Proceeding Straight,POINT (-122.42472 37.785316),100.0,4.0,11.0,39.0,17
48792,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_66a2,30467,25219000.0,12331000.0,6068092,37.7874786124252,-122.422305566015,SFPD-CROSSROADS,CITY STREET,09/28/2012 05:47:00 PM,2012 September 28,17:47:00,2012,September,Friday,SUTTER ST,VAN NESS AVE,160.0,Cloudy,Injury (Severe),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",Dry,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,1.0,Pedestrian,North,Proceeding Straight,Driver,East,Backing,POINT (-122.4223 37.78748),100.0,4.0,6.0,39.0,17
48796,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_67d1,31761,25222000.0,10476000.0,6079130,37.7896681138075,-122.420117762422,SFPD-CROSSROADS,CITY STREET,08/30/2012 05:35:00 PM,2012 August 30,17:35:00,2012,August,Thursday,PINE ST,POLK ST,110.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",Dry,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,1.0,Pedestrian,South,Other,Driver,West,Proceeding Straight,POINT (-122.42012 37.78967),105.0,4.0,3.0,21.0,17
48797,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_6305,36017,25600000.0,,5762332,37.8075901071974,-122.42074326775,SFPD-CROSSROADS,CITY STREET,06/30/2012 12:05:00 PM,2012 June 30,12:05:00,2012,June,Saturday,JEFFERSON ST,HYDE ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,West,Making Left Turn,Pedestrian,East,Proceeding Straight,POINT (-122.420746 37.80759),99.0,6.0,6.0,32.0,12
48798,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_64f4,37819,23069000.0,,6049336,37.7269907004,-122.474900344,SFPD-CROSSROADS,CITY STREET,12/25/2012 05:06:00 PM,2012 December 25,17:06:00,2012,December,Tuesday,19TH AVE,WINSTON DR,0.0,Raining,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Wet,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,South,Proceeding Straight,Pedestrian,East,Proceeding Straight,POINT (-122.4749 37.72699),41.0,10.0,8.0,16.0,17
48806,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_66dd,28093,24675000.000000004,2754000.0,6068186,37.7932365572766,-122.399964375796,SFPD-CROSSROADS,CITY STREET,09/06/2012 10:04:00 AM,2012 September 06,10:04:00,2012,September,Thursday,BATTERY ST,CALIFORNIA ST,10.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Pedestrian,West,Proceeding Straight,Driver,South,Passing Other Vehicle,POINT (-122.39996 37.793236),108.0,6.0,3.0,8.0,10
48819,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_67b4,1039,21400000.0,9403000.0,6076694,37.7153147158115,-122.43211549219,SFPD-CROSSROADS,CITY STREET,06/14/2012 03:06:00 PM,2012 June 14,15:06:00,2012,June,Thursday,MOSCOW ST,ITALY AVE,117.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,1.0,Pedestrian,West,Proceeding Straight,Driver,North,Proceeding Straight,POINT (-122.43211 37.715313),90.0,9.0,1.0,7.0,15
48826,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_650b,1380,21489000.0,9182000.0,6049371,37.7145994106116,-122.442628230757,SFPD-CROSSROADS,CITY STREET,10/13/2012 09:31:00 AM,2012 October 13,09:31:00,2012,October,Saturday,MISSION ST,ALLISON ST,29.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,1.0,Pedestrian,East,Proceeding Straight,Driver,South,Making Left Turn,POINT (-122.44263 37.7146),80.0,9.0,1.0,28.0,09
48828,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_65b3,3932,20948000.000000004,,6058847,37.7234984696359,-122.419375171301,SFPD-CROSSROADS,CITY STREET,03/31/2012 05:20:00 PM,2012 March 31,17:20:00,2012,March,Saturday,HARVARD ST,BACON ST,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,West,Making Right Turn,Pedestrian,North,Other,POINT (-122.41937 37.7235),92.0,9.0,2.0,25.0,17
48829,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_62ef,29780,26614000.0,12134000.0,5762296,37.7849118362675,-122.434723172717,SFPD-CROSSROADS,CITY STREET,06/13/2012 09:00:00 AM,2012 June 13,09:00:00,2012,June,Wednesday,STEINER ST,POST ST,12.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,South,Making Right Turn,Pedestrian,West,Proceeding Straight,POINT (-122.43472 37.784912),103.0,4.0,11.0,15.0,09
48830,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_6cb9,24378,24334000.0,,130263148,37.781863339059,-122.413865604238,SFPD-CROSSROADS,CITY STREET,03/30/2013 11:50:00 PM,2013 March 30,23:50:00,2013,March,Saturday,LEAVENWORTH ST,GOLDEN GATE AVE,0.0,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Wet,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,2.0,Driver,North,Making Left Turn,Pedestrian,East,Entering Traffic,POINT (-122.413864 37.781864),20.0,5.0,10.0,36.0,23
48833,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_6095,42912,27191000.0,2429000.0,5584948,37.774412139205,-122.458378217285,SFPD-CROSSROADS,CITY STREET,02/09/2012 06:44:00 PM,2012 February 09,18:44:00,2012,February,Thursday,ARGUELLO BLVD,FULTON ST,38.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Dark - Street Lights,Midblock > 20ft,0.0,1,1.0,Pedestrian,East,Proceeding Straight,Driver,North,Making Left Turn,POINT (-122.45838 37.77441),5.0,8.0,4.0,11.0,18
48840,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_6520,43668,27520000.0,,6049394,37.7744366625889,-122.484325940017,SFPD-CROSSROADS,CITY STREET,10/09/2012 03:52:00 PM,2012 October 09,15:52:00,2012,October,Tuesday,25TH AVE,CABRILLO ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dusk - Dawn,Intersection <= 20ft,0.0,1,1.0,Driver,South,Making Left Turn,Pedestrian,East,Not Stated,POINT (-122.48433 37.774437),8.0,8.0,4.0,29.0,15
48854,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_636e,27048,30049000.0,3524000.0,5774882,37.7936261821476,-122.396685495174,SFPD-CROSSROADS,CITY STREET,07/25/2012 12:40:00 PM,2012 July 25,12:40:00,2012,July,Wednesday,CALIFORNIA ST,DRUMM ST,86.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,1.0,Pedestrian,South,Not Stated,Driver,East,Proceeding Straight,POINT (-122.39668 37.793625),108.0,6.0,3.0,8.0,12
48855,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_6785,7863,24088000.0,,6076543,37.7522394550908,-122.418445270354,SFPD-CROSSROADS,CITY STREET,04/05/2012 08:18:00 AM,2012 April 05,08:18:00,2012,April,Thursday,MISSION ST,24TH ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Pedestrian,West,Proceeding Straight,Driver,South,Proceeding Straight,POINT (-122.41844 37.75224),53.0,3.0,2.0,20.0,08
48882,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_7111,58189,24952000.0,,220413392,37.7878721686139,-122.41169923159,SFPD-INTERIM DB,CITY STREET,06/24/2022 09:00:00 AM,2022 June 24,09:00:00,2022,June,Friday,TAYLOR ST,POST ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,North,Making Left Turn,Pedestrian,East,Proceeding Straight,POINT (-122.4117 37.787872),50.0,6.0,3.0,21.0,09
48886,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_67d4,44062,27554000.0,,6079141,37.780037953454,-122.48580757633,SFPD-CROSSROADS,CITY STREET,08/31/2012 09:55:00 PM,2012 August 31,21:55:00,2012,August,Friday,GEARY BLVD,26TH AVE,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,West,Proceeding Straight,Pedestrian,South,Proceeding Straight,POINT (-122.48581 37.780037),8.0,8.0,4.0,29.0,21
48888,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_7202,58281,25140000.000000004,5176000.0,220316439,37.7845782177867,-122.415052179053,SFPD-INTERIM DB,CITY STREET,05/15/2022 01:36:00 AM,2022 May 15,01:36:00,2022,May,Sunday,ELLIS ST,HYDE ST,298.0,Clear,Fatal,Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Dark - Street Lights,Midblock > 20ft,1.0,0,1.0,Driver,West,Proceeding Straight,Pedestrian,West,Not Stated,POINT (-122.415054 37.784576),20.0,5.0,10.0,36.0,01
48891,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_7325,56373,26748000.000000004,,210418998,37.8000515484,-122.434404698,SFPD-INTERIM DB,CITY STREET,07/04/2021 01:27:00 AM,2021 July 04,01:27:00,2021,July,Sunday,LOMBARD ST,WEBSTER ST,0.0,Clear,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Wet,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Pedestrian,North,Proceeding Straight,Driver,East,Proceeding Straight,POINT (-122.4344 37.800053),17.0,4.0,6.0,13.0,01
48904,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_6477,2805,20578000.0,,6040308,37.7239199944194,-122.402060967057,SFPD-CROSSROADS,CITY STREET,10/17/2012 08:52:00 AM,2012 October 17,08:52:00,2012,October,Wednesday,SAN BRUNO AVE,PAUL AVE,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,East,Making Left Turn,Pedestrian,North,Proceeding Straight,POINT (-122.40206 37.72392),91.0,2.0,2.0,25.0,08
48913,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_67e5,22585,26383000.0,,6080408,37.7776691087729,-122.446846470157,SFPD-CROSSROADS,CITY STREET,04/28/2012 01:25:00 AM,2012 April 28,01:25:00,2012,April,Saturday,MASONIC AVE,GOLDEN GATE AVE,0.0,Clear,Injury (Other Visible),Sideswipe,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Pedestrian,West,Proceeding Straight,Driver,South,Proceeding Straight,POINT (-122.446846 37.777668),97.0,7.0,4.0,18.0,01
48917,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_6403,43634,27492000.0,2661000.0,5844673,37.7766948523425,-122.475847032711,SFPD-CROSSROADS,CITY STREET,08/26/2012 06:57:00 PM,2012 August 26,18:57:00,2012,August,Sunday,BALBOA ST,17TH AVE,12.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,West,Proceeding Straight,Pedestrian,South,Proceeding Straight,POINT (-122.475845 37.776695),5.0,8.0,4.0,29.0,18
48919,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_649c,21929,25968000.0,,6046471,37.7786320376331,-122.431763220242,SFPD-CROSSROADS,CITY STREET,11/11/2012 01:45:00 PM,2012 November 11,13:45:00,2012,November,Sunday,FILLMORE ST,MCALLISTER ST,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,South,Making Left Turn,Pedestrian,East,Proceeding Straight,POINT (-122.43176 37.778633),97.0,4.0,11.0,39.0,13
48925,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_729f,29992,25170000.0,6117000.0,130090781,37.7860933738337,-122.418148891749,SFPD-CROSSROADS,CITY STREET,02/01/2013 09:31:00 AM,2013 February 01,09:31:00,2013,February,Friday,GEARY ST,LARKIN ST,18.0,Clear,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk Not at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Pedestrian,South,Proceeding Straight,Driver,West,Making Left Turn,POINT (-122.41815 37.786095),20.0,6.0,10.0,36.0,09
48931,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_65a4,33074,34028000.0,14019001.0,6058811,37.8184773258279,-122.369702362937,SFPD-CROSSROADS,CITY STREET,03/14/2012 10:10:00 PM,2012 March 14,22:10:00,2012,March,Wednesday,CALIFORNIA ST,AVENUE D,210.0,Raining,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk Not at Intersection,Wet,No Unusual Condition,Dark - Street Lights,Midblock > 20ft,0.0,1,1.0,Pedestrian,West,Proceeding Straight,Driver,North,Proceeding Straight,POINT (-122.369705 37.818478),36.0,1.0,10.0,37.0,22
48932,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_6486,36024,25596000.0,7457000.0,6046420,37.8080134241366,-122.417445119208,SFPD-CROSSROADS,CITY STREET,11/06/2012 02:00:00 PM,2012 November 06,14:00:00,2012,November,Tuesday,JEFFERSON ST,JEFFERSON ST,356.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",Dry,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,1.0,Driver,South,Proceeding Straight,Pedestrian,South,Not Stated,POINT (-122.41744 37.808014),99.0,6.0,3.0,23.0,14
48936,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_6266,30493,26502000.0,,5737916,37.7871304339874,-122.425046952546,SFPD-CROSSROADS,CITY STREET,05/17/2012 01:55:00 PM,2012 May 17,13:55:00,2012,May,Thursday,GOUGH ST,SUTTER ST,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,South,Making Left Turn,Pedestrian,East,Proceeding Straight,POINT (-122.42505 37.787132),100.0,4.0,11.0,30.0,13
48962,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_6f75,57643,25138000.0,7117000.0,220021484,37.7836784094,-122.415915537,SFPD-INTERIM DB,CITY STREET,01/10/2022 10:18:00 PM,2022 January 10,22:18:00,2022,January,Monday,HYDE ST,EDDY ST,60.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Dark - Street Lights,Midblock > 20ft,0.0,1,1.0,Pedestrian,East,Other,Driver,South,Proceeding Straight,POINT (-122.41592 37.78368),20.0,5.0,10.0,36.0,22
48964,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_6497,15719,24302000.0,9514000.0,6046506,37.7768389364731,-122.411932924075,SFPD-CROSSROADS,CITY STREET,12/19/2012 09:45:00 AM,2012 December 19,09:45:00,2012,December,Wednesday,NATOMA ST,08TH ST,92.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Daylight,Midblock > 20ft,0.0,1,1.0,Driver,West,Backing,Pedestrian,North,Other,POINT (-122.411934 37.77684),32.0,1.0,10.0,34.0,09
48969,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_6761,15191,23887000.0,,6076488,37.7765683826706,-122.398755449781,SFPD-CROSSROADS,CITY STREET,04/02/2012 01:55:00 PM,2012 April 02,13:55:00,2012,April,Monday,05TH ST,BRANNAN ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,North,Making Right Turn,Pedestrian,West,Not Stated,POINT (-122.39876 37.77657),32.0,1.0,10.0,34.0,13
48971,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_6423,24121,24922000.0,326000.0,5866794,37.7820737047322,-122.410094799411,SFPD-CROSSROADS,CITY STREET,08/18/2012 01:05:00 AM,2012 August 18,01:05:00,2012,August,Saturday,06TH ST,MARKET ST,81.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,Dry,No Unusual Condition,Dark - Street Lights,Midblock > 20ft,0.0,1,1.0,Pedestrian,East,Entering Traffic,Driver,South,Proceeding Straight,POINT (-122.410095 37.782074),32.0,5.0,10.0,34.0,01
48972,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_611e,9638,23746000.0,,5590764,37.7662502528649,-122.399760960129,SFPD-CROSSROADS,CITY STREET,02/02/2012 07:33:00 PM,2012 February 02,19:33:00,2012,February,Thursday,16TH ST,WISCONSIN ST,0.0,Clear,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,East,Stopped In Road,Pedestrian,South,Not Stated,POINT (-122.39976 37.76625),54.0,1.0,9.0,4.0,19
48975,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_7255,58529,25206000.0,,220333182,37.7898299350975,-122.418842651798,SFPD-INTERIM DB,CITY STREET,05/21/2022 06:07:00 PM,2022 May 21,18:07:00,2022,May,Saturday,PINE ST,LARKIN ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Pedestrian,South,Proceeding Straight,Driver,West,Making Left Turn,POINT (-122.418846 37.78983),105.0,6.0,3.0,21.0,18
48983,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_6237,10660,24144000.0,,5733150,37.7586325673073,-122.419052606944,SFPD-CROSSROADS,CITY STREET,05/09/2012 06:25:00 PM,2012 May 09,18:25:00,2012,May,Wednesday,MISSION ST,20TH ST,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Daylight,Intersection <= 20ft,0.0,1,1.0,Driver,North,Making Left Turn,Pedestrian,East,Proceeding Straight,POINT (-122.41905 37.758633),53.0,3.0,2.0,20.0,18
48986,vw_geo_sfpd_cr_switrs_all_types_col_cty_union.fid-c18a0c2_186644fdb18_6659,1836,21737000.000000004,,6063808,37.7184672256378,-122.43950037475,SFPD-CROSSROADS,CITY STREET,11/12/2012 05:47:00 PM,2012 November 12,17:47:00,2012,November,Monday,MISSION ST,ITALY AVE,0.0,Clear,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,Dry,No Unusual Condition,Dark - Street Lights,Intersection <= 20ft,0.0,1,1.0,Driver,South,Proceeding Straight,Pedestrian,East,Proceeding Straight,POINT (-122.4395 37.718468),80.0,9.0,1.0,28.0,17
